REGIÃO;ESTADO;NOME;CODIGO;LATITUDE;LONGITUDE;ALTITUDE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
SE;ES;LINHARES;A614;-19.35694444;-40.0686111;40.0;;;;;;;0.0;0.0;0.0027322404371584;0.0;0.0027397260273972;0.0027397260273972;0.0;0.0383561643835616;0.0;0.0;0.0;0.0575342465753424;0.0657534246575342;0.0136986301369863;0.0;0.0
SE;SP;TAUBATE;A728;-23.04166666;-45.52083332;582.26;;;;;;;0.0;0.0;0.1311475409836065;0.0;0.0;0.0904109589041095;0.1202185792349726;0.1068493150684931;0.0;0.0246575342465753;0.0;0.0958904109589041;0.0;0.0;0.0;0.8438356164383561
S;RS;VACARIA;A880;-28.513602;-50.882738;969.89;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1174863387978142;0.0;0.0;0.0;0.0027322404371584;0.0986301369863013
NE;BA;FORMOSA DO RIO PRETO;A452;-11.05222222;-45.20083333;488.0;;;;;;;;;;;;;;;;;0.0027322404371584;0.0027397260273972;0.0;0.0;0.0928961748633879;0.6767123287671233
N;AP;OIAPOQUE;A242;3.81361111;-51.8625;15.14;;;;;;;;;0.0027322404371584;0.0;0.0465753424657534;0.6465753424657534;0.0;0.0082191780821917;0.0;0.0027397260273972;0.0;0.4986301369863014;0.4821917808219178;0.5013698630136987;1.0;1.0
N;AM;HUMAITA;A112;-7.5525;-63.07138888;53.56;;;;;;;;;0.0;0.0;0.5506849315068493;0.0;0.1092896174863388;0.6;0.7315068493150685;0.0;0.6994535519125683;0.0;0.0;0.5041095890410959;0.3907103825136612;1.0
S;SC;ARARANGUA;A867;-28.931353;-49.49792;2.0;;;;;;;;;0.0027322404371584;0.0;0.0;0.0493150684931506;0.0136612021857923;0.0712328767123287;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0356164383561643
N;AC;EPITACIOLANDIA;A140;-11.02388888;-68.73527777;224.5;;;;;;;;;;0.0191780821917808;0.0;0.0;0.0;0.0;0.0438356164383561;0.0136986301369863;0.0;0.0;0.0;0.0;0.680327868852459;1.0
SE;MG;IBIRITE (ROLA MOCA);A555;-20.031457;-44.011249;1198.82;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SE;MG;UBERABA;A568;-19.71;-47.96194444;778.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0027397260273972;0.0;0.0054794520547945
